Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
1CAS 4 ENTERPRISES,DISPOSABLE RAZORS,14-04-2022,0,0,0,367
TOTAL                                   ,                              ,          ,0,0,0,367
24X7  COOLING SOLUTIONS,MACHINERIES,08-11-2022,0,0,0,859
TOTAL                                   ,                              ,          ,0,0,0,859
2M COMPONENTS LLP,ELEVATOR PARTS,04-01-2022,1,0,1,8272
2M COMPONENTS LLP,ELEVATOR PARTS,17-03-2022,1,0,1,11014
2M COMPONENTS LLP,ELEVATOR PARTS,20-09-2022,1,0,1,7880
2M COMPONENTS LLP,ELEVATOR PARTS,25-02-2022,1,0,1,13912
2M COMPONENTS LLP,ELEVATOR PARTS,02-08-2022,1,0,1,22570
2M COMPONENTS LLP,ELEVATOR PARTS,24-06-2022,1,0,1,9577
2M COMPONENTS LLP,ELEVATOR PARTS,01-02-2022,1,0,1,7756
2M COMPONENTS LLP,ELEVATOR PARTS,25-10-2022,1,0,1,12854
2M COMPONENTS LLP,ELEVATOR PARTS,10-11-2022,1,0,1,8880
2M COMPONENTS LLP,ELEVATOR PARTS,21-12-2022,0,1,2,16160
2M COMPONENTS LLP,ELEVATOR PARTS,04-10-2022,1,0,1,10000
2M COMPONENTS LLP,ELEVATOR PARTS,05-12-2022,1,0,1,22496
TOTAL                                   ,                              ,          ,11,1,13,151371
4R FLEXIBLES LLP,COTTON GARMENTS,30-10-2022,0,1,2,5439
4R FLEXIBLES LLP,COTTON GARMENTS,30-10-2022,0,0,0,1852
4R FLEXIBLES LLP,PACKING MATERIALS,28-03-2022,0,0,0,2668
4R FLEXIBLES LLP,PACKING MATERIALS,30-08-2022,0,0,0,801
4R FLEXIBLES LLP,PACKING MATERIALS,09-04-2022,1,0,1,4181
4R FLEXIBLES LLP,PACKING MATERIALS,19-04-2022,1,0,1,4236
4R FLEXIBLES LLP,PACKING MATERIALS,27-05-2022,0,1,2,5901
4R FLEXIBLES LLP,PACKING MATERIALS,05-07-2022,0,1,2,8763
4R FLEXIBLES LLP,PACKING MATERIALS,26-07-2022,0,0,0,3363
4R FLEXIBLES LLP,PACKING MATERIALS,11-08-2022,0,0,0,1692
4R FLEXIBLES LLP,PACKING MATERIALS,30-08-2022,0,1,2,1656
4R FLEXIBLES LLP,PACKING MATERIALS,07-09-2022,0,0,0,431
4R FLEXIBLES LLP,PACKING MATERIALS,27-09-2022,0,1,2,5325
4R FLEXIBLES LLP,PACKING MATERIALS,21-01-2022,0,1,2,4310
4R FLEXIBLES LLP,PACKING MATERIALS,17-03-2022,0,0,0,3654
4R FLEXIBLES LLP,PACKING MATERIALS,20-09-2022,0,0,0,1337
4R FLEXIBLES LLP,PACKING MATERIALS,01-11-2022,1,0,1,11484
4R FLEXIBLES LLP,PACKING MATERIALS,28-03-2022,1,0,1,4085
4R FLEXIBLES LLP,PACKING MATERIALS,01-02-2022,0,1,2,1714
4R FLEXIBLES LLP,PACKING MATERIALS,22-02-2022,0,0,0,3500
4R FLEXIBLES LLP,PACKING MATERIALS,28-03-2022,0,0,0,2231
TOTAL                                   ,                              ,          ,4,7,18,78623
7TH MAN TEXTILES P.LTD.,COTTON GARMENTS,11-08-2022,0,1,2,6594
TOTAL                                   ,                              ,          ,0,1,2,6594
A 1 EQUIPMENTS AND POWER SUPPLY,SPARES,01-11-2022,0,0,0,538
TOTAL                                   ,                              ,          ,0,0,0,538
A AND S APPRELS,COTTON GOODS,20-09-2022,1,0,1,3455
A AND S APPRELS,COTTON GOODS,12-09-2022,1,0,1,5459
TOTAL                                   ,                              ,          ,2,0,2,8914
A TO Z CONSULTANCY,DESIGNED GYPSUM CEILING,03-03-2022,0,1,2,19625
TOTAL                                   ,                              ,          ,0,1,2,19625
A TO Z PACKAGINGS,PACKING MATERIALS,29-06-2022,0,0,0,229
TOTAL                                   ,                              ,          ,0,0,0,229
A TO Z TRADERS,ELECTRICAL ITEMS,10-05-2022,0,0,0,2950
TOTAL                                   ,                              ,          ,0,0,0,2950
A-1 CHIPS AND EXPORTS(I)P.LTD.,BANANA CHIPS,14-08-2022,1,0,1,2050
A-1 CHIPS AND EXPORTS(I)P.LTD.,BANANA CHIPS,11-08-2022,1,0,1,6598
A-1 CHIPS AND EXPORTS(I)P.LTD.,BANANA CHIPS,19-03-2022,1,0,1,2992
A-1 CHIPS AND EXPORTS(I)P.LTD.,BANANA CHIPS,15-11-2022,1,0,1,3710
A-1 CHIPS AND EXPORTS(I)P.LTD.,BANANA CHIPS,20-04-2022,1,0,1,3808
A-1 CHIPS AND EXPORTS(I)P.LTD.,BANANA CHIPS,11-03-2022,1,0,1,3723
A-1 CHIPS AND EXPORTS(I)P.LTD.,FOOD STUFFS,16-05-2022,1,0,1,3244
A-1 CHIPS AND EXPORTS(I)P.LTD.,FOOD STUFFS,18-10-2022,1,0,1,5422
A-1 CHIPS AND EXPORTS(I)P.LTD.,FOOD STUFFS,20-06-2022,1,0,1,3794
A-1 CHIPS AND EXPORTS(I)P.LTD.,FOOD STUFFS,09-02-2022,1,0,1,3738
A-1 CHIPS AND EXPORTS(I)P.LTD.,POTATO CHIPS,21-01-2022,1,0,1,2978
TOTAL                                   ,                              ,          ,11,0,11,42057
A-1 ENTERPRISES,COTTON GARMENTS,22-06-2022,0,0,0,1446
A-1 ENTERPRISES,COTTON GARMENTS,13-11-2022,0,1,2,1402
A-1 ENTERPRISES,COTTON GARMENTS,10-07-2022,0,0,0,2673
A-1 ENTERPRISES,COTTON GARMENTS,04-09-2022,0,0,0,258
A-1 ENTERPRISES,COTTON GARMENTS,06-11-2022,0,0,0,7517
A-1 ENTERPRISES,COTTON GARMENTS,27-11-2022,0,2,4,11612
A-1 ENTERPRISES,COTTON GOODS,06-06-2022,0,1,2,1838
A-1 ENTERPRISES,COTTON GOODS,30-10-2022,1,0,1,3327
A-1 ENTERPRISES,COTTON GOODS,18-12-2022,0,0,0,691
A-1 ENTERPRISES,COTTON GOODS,06-06-2022,0,0,0,595
A-1 ENTERPRISES,COTTON GOODS,22-06-2022,0,2,4,13333
A-1 ENTERPRISES,COTTON GOODS,30-06-2022,0,0,0,3292
A-1 ENTERPRISES,COTTON GOODS,03-07-2022,0,0,0,2700
