,Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
0,BIOINGREDIA NATURAL P.LTD.,CURRY POWDER,2022-01-01,1,0,1,3632
1,EXIGEN ENERGY P.LTD.,GENERATOR,2022-01-01,0,1,2,10000
2,ECOPIENS ARECA PLATE PRODUCERS I P. LTD.,PALM LEAF PLATES,2022-01-01,0,1,2,12060
3,PALM FIBRE(INDIA)P.LTD.,COIR MATS,2022-01-01,0,3,6,53147
4,GEEKAY SPECIALITY CHEMICALS,CHEMICALS,2022-01-01,1,0,1,16000
5,ELITE GREEN P.LTD.,FOOD STUFFS,2022-01-01,1,0,1,19287
6,SUMI MERCANTILE CO. P. LTD.,RICE,2022-01-01,2,0,2,49820
7,SWISS SINGAPORE INDIA P.LTD.,TEA,2022-01-01,1,0,1,11295
8,COCHIN MINERALS AND RUTILE LTD.,FERRIC CHLORIDE,2022-01-01,5,0,5,120000
9,SUMI MERCANTILE CO. P. LTD.,RICE,2022-01-01,1,0,1,24000
10,SUMI MERCANTILE CO. P. LTD.,COCONUTS,2022-01-01,1,0,1,11005
11,ECONOMIC FOOD SOLUTIONS P.LTD.,FOOD STUFFS,2022-01-01,0,1,2,21652
12,ALPHA MATS,RUBBER MATS,2022-01-01,0,1,2,21600
13,CARBORUNDUM UNIVERSAL LTD.,ALUMINIUM OXIDE,2022-01-01,1,0,1,24786
14,STANFAB APPARELS,COTTON GOODS,2022-01-01,0,0,0,785
15,PRASANTHI CASHEW CO.,CASHEW KERNELS,2022-01-01,2,0,2,30000
16,SFO TECHNOLOGIES DIGITAL P.LTD.,CABLE ACCESSORIES,2022-01-01,0,0,0,335
17,MAF CLOTHING P.LTD.,COTTON GOODS,2022-01-01,0,0,0,1507
18,CARBORUNDUM UNIVERSAL LTD.,ALUMINIUM OXIDE,2022-01-01,1,0,1,24173
19,ATHIYAN AGRO PRODUCTS,COCONUTS,2022-01-01,0,1,2,28500
20,HI-TECH PRE TREADS P.LTD.,TYRE RETREADING MATERIALS,2022-01-01,1,0,1,19900
21,N.C. JOHN & SONS LTD.,COIR MATS,2022-01-01,0,0,0,59
22,KARTHIKAI TEXTILE MILLS,COTTON GOODS,2022-01-01,0,0,0,1533
23,V.M.POLYTEX LTD.,P.P.WOVEN BAGS,2022-01-01,0,1,2,18582
24,MAYBORN FOOD SPECIALITIES,TAPIOCA,2022-01-01,0,1,2,26320
25,ROCHER JOE FERRERO,COCONUTS,2022-01-01,0,1,2,28710
26,UNIVERSAL OLEORESINS,OLEORESINS OF SPICES,2022-01-01,0,0,0,4073
27,ANCHUTHARA FOOD PRODUCTS,FOOD STUFFS,2022-01-01,1,0,1,15713
28,GEM EQUIPMENTS,COOLING TOWERS,2022-01-01,0,1,2,5120
